id,age,Дата первого занятия,Курс,М2
11715,13,24.01.2021,Python Базовый,1
11721,13,24.01.2021,Python Базовый,0
11725,14,31.01.2021,Python Базовый,0
11735,15,31.01.2021,Python Базовый,0
11741,12,24.01.2021,Python Базовый,1
11752,12,24.01.2021,Python Базовый,1
11753,12,24.01.2021,Python Базовый,0
11754,11,24.01.2021,Python Базовый,0
11761,12,31.01.2021,Python Базовый,0
11762,13,31.01.2021,Python Базовый,0
11768,13,24.01.2021,Unity,0
11770,12,31.01.2021,Python Базовый,0
11776,14,24.01.2021,Python Базовый,0
11784,13,31.01.2021,Веб-дизайн,1
11785,14,24.01.2021,Unity,0
11796,12,31.01.2021,Python Базовый,1
11798,9,31.01.2021,Python Базовый,1
11812,14,24.01.2021,Python Базовый,0
11814,12,24.01.2021,Python Базовый,0
11827,14,31.01.2021,Python Базовый,0
11840,11,24.01.2021,Python Базовый,0
11842,11,07.02.2021,Веб-дизайн,0
11854,12,31.01.2021,Python Базовый,0
11866,,31.01.2021,Python Базовый,1
11872,12,31.01.2021,Python Базовый,0
11876,17,31.01.2021,Python Базовый,0
11888,12,31.01.2021,Python Базовый,0
11897,14,07.02.2021,Python Базовый,0
11899,13,31.01.2021,Python Базовый,0
11904,13,07.02.2021,Веб-дизайн,1
11905,13,31.01.2021,Python Базовый,0
11906,14,31.01.2021,Python Базовый,1
11918,13,31.01.2021,Python Базовый,0
11934,14,07.02.2021,Python Базовый,0
11936,,31.01.2021,Python Базовый,0
11945,13,31.01.2021,Веб-дизайн,0
11947,15,31.01.2021,Python Базовый,0
11958,14,31.01.2021,Веб-дизайн,0
11979,,07.02.2021,Python Базовый,0
11982,13,24.01.2021,Unity,0
11991,12,07.02.2021,Python Базовый,0
12004,12,31.01.2021,Python Базовый,0
12005,14,31.01.2021,Python Базовый,0
12006,13,07.02.2021,Python Базовый,0
12031,13,31.01.2021,Веб-дизайн,0
12035,15,07.02.2021,Unity,0
12069,14,07.02.2021,Python Базовый,0
12082,13,31.01.2021,Python Базовый,0
12093,13,31.01.2021,Python Базовый,0
12095,12,07.02.2021,Python Базовый,0
12099,13,31.01.2021,Python Базовый,0
12116,16,31.01.2021,Веб-дизайн,0
12119,12,31.01.2021,Python Базовый,0
12120,13,31.01.2021,Python Базовый,0
12121,,07.02.2021,Веб-дизайн,0
12125,14,24.01.2021,Unity,0
12131,12,07.02.2021,Python Базовый,0
12135,11,31.01.2021,Python Базовый,0
12138,12,31.01.2021,Python Базовый,0
12139,16,31.01.2021,Python Базовый,1
12146,15,24.01.2021,Unity,0
12150,,14.02.2021,Веб-дизайн,0
12159,,07.02.2021,Python Базовый,0
12189,,07.02.2021,Python Базовый,1
12198,12,07.02.2021,Python Базовый,0
12220,13,07.02.2021,Python Базовый,0
12227,,31.01.2021,Unity,0
12232,14,07.02.2021,Unity,0
12234,14,31.01.2021,Веб-дизайн,1
12240,12,07.02.2021,Python Базовый,0
12241,13,07.02.2021,Python Базовый,0
12255,12,07.02.2021,Python Базовый,1
12263,14,07.02.2021,Python Базовый,0
12272,12,31.01.2021,Python Базовый,0
12274,13,31.01.2021,Python Базовый,0
12275,12,31.01.2021,Python Базовый,0
12278,15,07.02.2021,Веб-дизайн,0
12288,13,31.01.2021,Python Базовый,0
12293,15,07.02.2021,Python Базовый,0
12300,12,14.02.2021,Python Базовый,0
12303,13,31.01.2021,Unity,0
12307,12,07.02.2021,Веб-дизайн,0
12312,15,07.02.2021,Веб-дизайн,0
12329,10,07.02.2021,Веб-дизайн,0
12332,13,31.01.2021,Python Базовый,1
12340,11,21.03.2021,Python Базовый,0
12356,13,07.02.2021,Веб-дизайн,0
12361,12,31.01.2021,Python Базовый,0
12364,12,07.02.2021,Python Базовый,0
12371,14,31.01.2021,Веб-дизайн,1
12377,12,07.02.2021,Python Базовый,0
12378,15,07.02.2021,Python Базовый,0
12380,12,07.02.2021,Веб-дизайн,0
12393,13,14.02.2021,Python Базовый,0
12394,12,07.02.2021,Python Базовый,0
12403,12,07.02.2021,Веб-дизайн,0
12409,14,07.02.2021,Unity,0
12420,12,31.01.2021,Python Базовый,0
12421,11,07.02.2021,Python Базовый,0
12422,16,31.01.2021,Python Базовый,0
12427,13,07.02.2021,Python Базовый,0
12429,12,31.01.2021,Python Базовый,0
12431,15,28.03.2021,Python Базовый,0
12434,16,07.02.2021,Веб-дизайн,0
12444,11,31.01.2021,Python Базовый,1
12449,14,31.01.2021,Python Базовый,0
12454,12,07.02.2021,Python Базовый,0
12459,12,31.01.2021,Python Базовый,0
12465,12,07.02.2021,Python Базовый,0
12467,15,07.02.2021,Веб-дизайн,1
12476,14,07.02.2021,Unity,0
12486,13,14.02.2021,Python Базовый,0
12488,12,07.02.2021,Python Базовый,0
12499,11,07.02.2021,Python Базовый,0
12508,13,07.02.2021,Python Базовый,0
12518,11,07.02.2021,Python Базовый,1
12522,13,07.02.2021,Python Базовый,0
12539,12,07.02.2021,Python Базовый,0
12546,13,07.02.2021,Python Базовый,0
12548,15,07.02.2021,Python Базовый,0
12553,13,21.02.2021,Python Базовый,1
12554,,07.02.2021,Веб-дизайн,1
12557,13,07.02.2021,Python Базовый,0
12570,12,07.02.2021,Python Базовый,0
12574,13,07.02.2021,Веб-дизайн,0
12580,12,07.02.2021,Python Базовый,0
12600,14,07.02.2021,Веб-дизайн,0
12604,12,07.02.2021,Python Базовый,0
12610,13,14.02.2021,Python Базовый,0
12635,14,07.02.2021,Веб-дизайн,0
12636,11,07.02.2021,Python Базовый,0
12663,,07.02.2021,Python Базовый,0
12672,15,07.02.2021,Python Базовый,0
12674,12,07.02.2021,Python Базовый,0
12682,11,07.02.2021,Python Базовый,0
12689,16,31.01.2021,Веб-дизайн,1
12696,12,07.02.2021,Python Базовый,0
12699,11,07.02.2021,Python Базовый,0
12703,13,14.02.2021,Python Базовый,1
12710,14,07.02.2021,Веб-дизайн,0
12712,16,21.02.2021,Python Базовый,1
12736,16,21.02.2021,Веб-дизайн,0
12737,13,21.02.2021,Веб-дизайн,1
12751,,07.02.2021,Python Базовый,1
12752,11,14.02.2021,Python Базовый,0
12770,17,14.02.2021,Веб-дизайн,1
12775,,14.02.2021,Веб-дизайн,1
12780,13,07.02.2021,Python Базовый,0
12783,13,21.02.2021,Python Базовый,0
12787,14,14.02.2021,Python Базовый,0
12795,11,14.02.2021,Python Базовый,0
12798,13,21.02.2021,Python Базовый,0
12805,12,07.02.2021,Python Базовый,0
12813,15,07.02.2021,Веб-дизайн,0
12818,16,21.03.2021,Unity,0
12822,13,28.03.2021,Python Базовый,0
12832,12,07.02.2021,Python Базовый,1
12833,16,14.02.2021,Веб-дизайн,1
12841,13,14.02.2021,Python Базовый,0
12843,15,21.02.2021,Веб-дизайн,1
12852,12,14.02.2021,Python Базовый,0
12858,,14.02.2021,Python Базовый,0
12867,14,14.02.2021,Веб-дизайн,0
12871,15,14.02.2021,Unity,0
12874,11,28.02.2021,Веб-дизайн,1
12885,14,14.02.2021,Python Базовый,0
12891,12,14.02.2021,Python Базовый,0
12893,13,14.02.2021,Веб-дизайн,0
12899,14,07.02.2021,Python Базовый,0
12914,13,14.02.2021,Веб-дизайн,1
12916,,07.02.2021,Python Базовый,0
12919,,21.02.2021,Unity,1
12920,12,21.02.2021,Python Базовый,1
12921,15,28.02.2021,Python Базовый,1
12923,12,28.02.2021,Python Базовый,1
12930,19,14.02.2021,Unity,0
12942,13,28.02.2021,Python Базовый,1
12943,13,14.02.2021,Python Базовый,0
12950,15,14.02.2021,Python Базовый,0
12951,13,21.02.2021,Веб-дизайн,0
12966,11,14.02.2021,Python Базовый,0
12972,,14.02.2021,Веб-дизайн,1
12979,13,14.02.2021,Веб-дизайн,0
12982,12,14.02.2021,Python Базовый,0
12983,15,07.02.2021,Веб-дизайн,0
12986,14,21.02.2021,Python Базовый,1
12993,13,14.02.2021,Python Базовый,0
12994,12,21.02.2021,Python Базовый,1
13000,16,21.02.2021,Python Базовый,1
13007,16,14.02.2021,Веб-дизайн,1
13028,,14.02.2021,Веб-дизайн,1
13038,13,14.02.2021,Python Базовый,0
13051,13,07.02.2021,Python Базовый,0
13055,13,14.02.2021,Веб-дизайн,1
13056,12,14.02.2021,Python Базовый,0
13065,13,14.02.2021,Веб-дизайн,0
13066,15,14.02.2021,Веб-дизайн,0
13067,12,14.02.2021,Python Базовый,0
13076,10,07.02.2021,Python Базовый,0
13083,12,14.02.2021,Python Базовый,1
13087,,14.02.2021,Python Базовый,0
13091,11,21.02.2021,Веб-дизайн,0
13093,11,07.02.2021,Python Базовый,0
13095,13,07.02.2021,Python Базовый,0
13098,14,21.02.2021,Python Базовый,0
13106,11,14.02.2021,Python Базовый,0
13108,14,07.02.2021,Python Базовый,0
13113,14,14.02.2021,Веб-дизайн,1
13126,13,21.02.2021,Python Базовый,1
13131,14,14.02.2021,Unity,0
13137,14,07.02.2021,Python Базовый,0
13142,14,21.02.2021,Python Базовый,0
13148,15,21.02.2021,Python Базовый,1
13149,12,14.02.2021,Python Базовый,0
13153,12,14.02.2021,Python Базовый,0
13157,12,21.02.2021,Python Базовый,1
13159,13,14.02.2021,Веб-дизайн,1
